id,x[m],y[m],z[m],t[s]
1,-0.5,-0.5,1,0
3,0.5,-0.5,1,0
4,1,0,1,0
5,0.5,0.5,1,0
8,-0.5,0.5,1,0
9,-1,0,1,0

1,0.5,-0.5,1.5,2
3,1,0,1.5,2
4,0.5,0.5,1.5,2
5,-0.5,0.5,1.5,2
8,-1,0,1.5,2
9,-0.5,-0.5,1.5,2

1,1,0,1,4
3,0.5,0.5,1,4
4,-0.5,0.5,1,4
5,-1,0,1,4
8,-0.5,-0.5,1,4
9,0.5,-0.5,1,4

1,0.5,0.5,1.5,6
3,-0.5,0.5,1.5,6
4,-1,0,1.5,6
5,-0.5,-0.5,1.5,6
8,0.5,-0.5,1.5,6
9,1,0,1.5,6

1,-0.5,0.5,1,8
3,-1,0,1,8
4,-0.5,-0.5,1,8
5,0.5,-0.5,1,8
8,1,0,1,8
9,0.5,0.5,1,8

1,-1,0,1.5,10
3,-0.5,-0.5,1.5,10
4,0.5,-0.5,1.5,10
5,1,0,1.5,10
8,0.5,0.5,1.5,10
9,-0.5,0.5,1.5,10

1,-0.5,0,1,12
3,-0.5,0.5,1,12
4,0,1,1,12
5,0.5,0.5,1,12
8,0.5,-0.5,1,12
9,-0.5,-0.5,1,12

1,0,0.5,1.5,14
3,0.5,-0.5,1.5,14
4,0,-1,1.5,14
5,-0.5,-0.5,1.5,14
8,-0.5,0.5,1.5,14
9,0.5,0.5,1.5,14

1,0.5,-0.5,1,16
3,-0.5,-0.5,1,16
4,-0.5,0.5,1,16
5,0.5,0.5,1,16
8,1,0,1,16
9,-1,0,1,16

1,-0.5,-0.5,1.5,18
3,0.5,-0.5,1.5,18
4,0.5,0.5,1.5,18
5,-0.5,0.5,1.5,18
8,-0.5,-0.5,1.5,18
9,0.5,-0.5,1.5,18

1,0.5,-0.5,1,20
3,1,0,1,20
4,0.5,0.5,1,20
5,-0.5,0.5,1,20
8,-1,0,1,20
9,-0.5,-0.5,1,20
