id,x[m],y[m],z[m],t[s]
2,-0.5,-0.5,1.0,0
3,0.5,-0.5,1.0,0
5,0.5,0.5,1.0,0

2,0.0,-0.5,1.5,2
3,0.5,0.0,1.5,2
5,-0.5,0.5,1.5,2

2,0.5,-0.5,1.0,4
3,-0.5,-0.5,1.0,4
5,-0.5,0.5,1.0,4

2,0.5,0.5,1.5,6
3,-0.5,0.0,1.5,6
5,0.0,-0.5,1.5,6

2,0.5,-0.5,1.0,8
3,0.5,0.5,1.0,8
5,-0.5,0.5,1.0,8

2,-0.5,0.0,1.5,10
3,0.5,-0.5,1.5,10
5,0.5,0.5,1.5,10

2,-0.5,0.5,1.0,12
3,-0.5,-0.5,1.0,12
5,0.5,-0.5,1.0,12

2,-0.5,0.0,1.5,14
3,-0.5,0.5,1.5,14
5,0.0,-0.5,1.5,14

2,0.5,-0.5,1.0,16
3,-0.5,-0.5,1.0,16
5,-0.5,0.5,1.0,16

2,0.5,0.5,1.5,18
3,-0.5,0.0,1.5,18
5,0.5,-0.5,1.5,18

2,-0.5,-0.5,1.0,20
3,0.5,-0.5,1.0,20
5,0.5,0.5,1.0,20

2,0.0,-0.5,1.5,22
3,0.5,0.0,1.5,22
5,-0.5,0.5,1.5,22

2,0.5,-0.5,1.0,24
3,-0.5,-0.5,1.0,24
5,-0.5,0.5,1.0,24

2,0.5,0.5,1.5,26
3,-0.5,0.0,1.5,26
5,0.0,-0.5,1.5,26

2,0.5,-0.5,1.0,28
3,0.5,0.5,1.0,28
5,-0.5,0.5,1.0,28

2,-0.5,0.0,1.5,30
3,0.5,-0.5,1.5,30
5,0.5,0.5,1.5,30

2,-0.5,0.0,0.5,32
3,0.5,-0.5,0.5,32
5,0.5,0.5,0.5,32
